# file...... Load671Power.csv
# date...... Wed Aug 15 12:08:11 2018
# user...... hu000007
# host...... (null)
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,l671:constant_power_A,l671:constant_power_B,l671:constant_power_C,l6711:constant_power_A,l6711:constant_power_B,l6711:constant_power_C
2000-01-06 18:01:00 EST,+77683.5+45696.2j,+94467.8+54390.6j,+104868+60948.7j,+80687.2+31609.4j,+71252.3+62869.7j,+123240+90092.7j
2000-01-06 19:01:00 EST,+73918.1+43481.2j,+99254.4+57146.5j,+105020+61037.3j,+78490+30748.7j,+74391.3+65639.4j,+123916+90586.6j
2000-01-06 20:01:00 EST,+74519.7+43835.1j,+94206.2+54240j,+100737+58548.2j,+80826.4+31664j,+77476.3+68361.4j,+120691+88229.1j
2000-01-06 21:01:00 EST,+77647.2+45674.8j,+93252.2+53690.6j,+109614+63707.1j,+82694.9+32395.9j,+72986.8+64400.1j,+122196+89329.3j
2000-01-06 22:01:00 EST,+78988+46463.5j,+95005.6+54700.2j,+106969+62170.2j,+74887.7+29337.4j,+78705.1+69445.7j,+122127+89279.3j
2000-01-06 23:01:00 EST,+75277.3+44280.8j,+96542.2+55584.9j,+108701+63176.7j,+82702.1+32398.8j,+77705+68563.3j,+122481+89537.8j
2000-01-07 00:01:00 EST,+72305.7+42532.8j,+99997.5+57574.3j,+99561.6+57864.8j,+77835.8+30492.4j,+74723.3+65932.3j,+121120+88543.2j
2000-01-07 01:01:00 EST,+77887.9+45816.4j,+95807.7+55162j,+104795+60906.7j,+77642.2+30416.5j,+71488.1+63077.8j,+122512+89560.8j
2000-01-07 02:01:00 EST,+75001.7+44118.7j,+93118.6+53613.7j,+104266+60599.1j,+80481.5+31528.8j,+73007.6+64418.4j,+123353+90175.1j
2000-01-07 03:01:00 EST,+78003.1+45884.2j,+97319.8+56032.6j,+108576+63103.9j,+83205+32595.8j,+76584.8+67574.8j,+123227+90083.5j
2000-01-07 04:01:00 EST,+75444.9+44379.4j,+101110+58214.6j,+100126+58193j,+78702.6+30831.9j,+79903.4+70503j,+121705+88970.8j
2000-01-07 05:01:00 EST,+75597.7+44469.2j,+99589.9+57339.6j,+102499+59572j,+77787.2+30473.3j,+79714.3+70336.2j,+123546+90316.1j
2000-01-07 06:01:00 EST,+75028.6+44134.5j,+95875.1+55200.8j,+110173+64032.3j,+75728.2+29666.7j,+80129.4+70702.4j,+123377+90192.5j
2000-01-07 07:01:00 EST,+78354.9+46091.1j,+101339+58346.4j,+109514+63649.3j,+80992.9+31729.2j,+78108.6+68919.4j,+121689+88959j
2000-01-07 08:01:00 EST,+73780.9+43400.5j,+96429.7+55520.1j,+101890+59218.3j,+75673+29645.1j,+72089.2+63608.2j,+121390+88740.1j
2000-01-07 09:01:00 EST,+74164.9+43626.4j,+93779.4+53994.2j,+99792.8+57999.2j,+76530.6+29981.1j,+76974.7+67918.9j,+123547+90317.2j
2000-01-07 10:01:00 EST,+73475.4+43220.8j,+97010.7+55854.7j,+110004+63933.7j,+75910+29737.9j,+75163.8+66321j,+122137+89286j
2000-01-07 11:01:00 EST,+75503.2+44413.7j,+98538.4+56734.2j,+107540+62501.6j,+75573.7+29606.2j,+72767.8+64206.9j,+124354+90907.3j
2000-01-07 12:01:00 EST,+78885.6+46403.3j,+97573.8+56178.8j,+102061+59317.3j,+77516.6+30367.3j,+71896.4+63438j,+120314+87953.8j
2000-01-07 13:01:00 EST,+75629.9+44488.2j,+97711.4+56258.1j,+101984+59272.7j,+79602+31184.3j,+73799.4+65117.1j,+122335+89431.4j
2000-01-07 14:01:00 EST,+75579.6+44458.6j,+95806+55161j,+100361+58329.7j,+77298.6+30281.9j,+76971.6+67916.1j,+120662+88208j
